GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.empresa.erp.controllers,ReporteController,177,6,0,0,45,3,16,1,16,1
backend,com.empresa.erp.controllers,AuditLogController,35,3,0,0,7,1,7,1,7,1
backend,com.empresa.erp.controllers,PedidoController,121,6,6,0,23,3,8,1,5,1
backend,com.empresa.erp.controllers,MovimientoInventarioController,145,6,0,0,31,3,11,1,11,1
backend,com.empresa.erp.controllers,AuthController,390,10,14,0,75,4,16,2,9,2
backend,com.empresa.erp.controllers,HomeController,50,3,0,0,5,1,2,1,2,1
backend,com.empresa.erp.controllers,ProveedorController,154,6,0,0,44,3,15,1,15,1
backend,com.empresa.erp.controllers,PasswordPolicyController,25,3,0,0,5,1,2,1,2,1
backend,com.empresa.erp.controllers,EmpresaConfigController,43,3,0,0,9,1,3,1,3,1
backend,com.empresa.erp.controllers,UsuarioController,189,10,16,0,29,4,16,2,8,2
backend,com.empresa.erp.controllers,FileUploadController,318,56,21,0,67,12,17,2,5,2
backend,com.empresa.erp.controllers,RolPermisoController,25,3,0,0,5,1,2,1,2,1
backend,com.empresa.erp.controllers,NotificacionController,71,3,0,0,16,1,4,1,4,1
backend,com.empresa.erp.controllers,CompraController,429,3,12,0,89,1,18,1,12,1
backend,com.empresa.erp.controllers,VisualConfigController,25,3,0,0,5,1,2,1,2,1
backend,com.empresa.erp.controllers,ClienteController,238,6,18,0,45,3,16,1,7,1
backend,com.empresa.erp.controllers,ProductoController,116,103,13,1,24,20,8,7,1,7
backend,com.empresa.erp.controllers,TestController,97,3,2,0,21,1,5,1,4,1
backend,com.empresa.erp.controllers,IndicadoresController,550,8,0,0,59,2,1,1,1,1
backend,com.empresa.erp.config,SecurityConfig,50,795,2,0,15,84,3,16,2,16
backend,com.empresa.erp.config,JwtAuthenticationFilter,130,7,22,0,35,2,12,2,1,2
backend,com.empresa.erp.config,CorsFilter,38,3,2,0,12,1,4,1,3,1
backend,com.empresa.erp.config,RateLimitFilter,101,3,24,0,23,1,14,1,2,1
backend,com.empresa.erp.config,WebConfig,0,40,0,0,0,6,0,2,0,2
backend,com.empresa.erp.config,SecurityConfig.new AuthenticationSuccessHandler() {...},182,6,6,0,43,1,6,1,3,1
backend,com.empresa.erp.services,PasswordPolicyService,34,3,4,0,6,1,4,1,2,1
backend,com.empresa.erp.services,AuditLogService,39,3,0,0,8,1,7,1,7,1
backend,com.empresa.erp.services,ClienteService,38,6,6,0,8,3,7,1,4,1
backend,com.empresa.erp.services,ReporteService,1742,15,148,0,314,6,107,1,33,1
backend,com.empresa.erp.services,ProductoService,0,26,0,0,0,8,0,5,0,5
backend,com.empresa.erp.services,ValidacionService,935,22,220,0,173,8,126,2,16,2
backend,com.empresa.erp.services,PedidoService,764,24,72,0,153,9,50,1,14,1
backend,com.empresa.erp.services,CompraService,124,3,14,0,26,1,11,1,4,1
backend,com.empresa.erp.services,ProveedorService,187,9,10,0,37,4,25,1,20,1
backend,com.empresa.erp.services,VisualConfigService,34,3,4,0,6,1,4,1,2,1
backend,com.empresa.erp.services,UsuarioService,223,50,38,4,46,14,26,3,5,3
backend,com.empresa.erp.services,RolPermisoService,32,3,4,0,7,1,4,1,2,1
backend,com.empresa.erp.services,NotificacionService,108,3,2,0,21,1,10,1,9,1
backend,com.empresa.erp.services,RateLimitService,61,13,2,0,16,3,6,1,5,1
backend,com.empresa.erp.services,EmpresaConfigService,50,3,6,0,10,1,6,1,3,1
backend,com.empresa.erp.services,MovimientoInventarioService,276,12,18,0,56,5,25,1,14,1
backend,com.empresa.erp.services,RolPermisoInitializer,0,76,0,2,0,16,0,4,0,3
backend,com.empresa.erp.services,AuthService,244,11,20,0,58,4,15,1,5,1
backend,com.empresa.erp.models,DetallePedidoDTO,36,0,0,0,15,0,8,0,8,0
backend,com.empresa.erp.models,DetalleCompra,49,3,0,0,14,1,14,1,14,1
backend,com.empresa.erp.models,Proveedor,145,7,0,0,55,3,26,1,26,1
backend,com.empresa.erp.models,CrearPedidoDTO,47,0,0,0,20,0,12,0,12,0
backend,com.empresa.erp.models,Compra,98,3,0,0,28,1,28,1,28,1
backend,com.empresa.erp.models,ReporteStockBajoDTO,33,0,0,0,11,0,7,0,7,0
backend,com.empresa.erp.models,MovimientoInventario,90,3,0,0,37,1,19,1,19,1
backend,com.empresa.erp.models,Pedido,56,3,0,0,24,1,16,1,16,1
backend,com.empresa.erp.models,PasswordPolicy,49,3,0,0,14,1,14,1,14,1
backend,com.empresa.erp.models,Cliente,70,3,0,0,20,1,20,1,20,1
backend,com.empresa.erp.models,RefreshToken,28,3,0,0,8,1,8,1,8,1
backend,com.empresa.erp.models,ReporteProductosMasVendidosDTO,43,0,0,0,14,0,9,0,9,0
backend,com.empresa.erp.models,Usuario,17,38,0,0,5,11,5,10,5,10
backend,com.empresa.erp.models,Notificacion,62,9,0,0,18,3,12,1,12,1
backend,com.empresa.erp.models,MovimientoInventario.TipoMovimiento,0,21,0,0,0,4,0,1,0,1
backend,com.empresa.erp.models,Producto,6,39,0,0,2,11,2,11,2,11
backend,com.empresa.erp.models,AuditLog,49,24,0,0,14,9,14,2,14,2
backend,com.empresa.erp.models,ReporteVentasPorClienteDTO,43,0,0,0,14,0,9,0,9,0
backend,com.empresa.erp.models,DetallePedido,35,3,0,0,15,1,10,1,10,1
backend,com.empresa.erp.models,EmpresaConfig,63,3,0,0,18,1,18,1,18,1
backend,com.empresa.erp.models,VisualConfig,49,3,0,0,14,1,14,1,14,1
backend,com.empresa.erp.models,RolPermiso,25,27,0,0,8,7,8,7,8,7
backend,com.empresa.erp,GenerarHash,21,0,0,0,5,0,2,0,2,0
backend,com.empresa.erp,BackendApplication,5,3,0,0,2,1,1,1,1,1
